"","alpha_cases","alpha_deaths","cfr_00_04","lambda","phi_05_14","phi_15_plus","prop_SW","R0_hh","R0_sw_st"
"alpha_cases",0.000658463083079,1.24509212674053e-05,4.69157808371839e-06,0.0095914701861759,7.57419603712477e-06,0.000158986193795098,2.32066998891848e-06,-0.000368657947625781,-2.14085616027128e-05
"alpha_deaths",1.24509212674053e-05,0.0149901658727998,1.67599834878087e-05,0.0157410944768119,-0.000717008407856699,-0.000372778416187526,2.75934480277293e-05,-0.000353949392157845,0.000922247596246561
"cfr_00_04",4.69157808371839e-06,1.67599834878087e-05,6.24548370805317e-07,0.000211779905969924,1.00222395512445e-05,2.04660060240056e-06,2.65759818267002e-07,-1.83630729053004e-05,8.16726599733881e-06
"lambda",0.0095914701861759,0.0157410944768119,0.000211779905969924,1.0802184853824,-0.0400747792636319,-0.0113593313159169,0.00129569447350317,-0.0237406731777645,0.0394524768162498
"phi_05_14",7.57419603712477e-06,-0.000717008407856699,1.00222395512445e-05,-0.0400747792636319,0.0101890253803453,0.000996629773401022,-6.84982193669384e-05,-0.000623897582006685,-0.00230275213425153
"phi_15_plus",0.000158986193795098,-0.000372778416187526,2.04660060240056e-06,-0.0113593313159169,0.000996629773401022,0.000927636724548727,-3.145167153624e-05,0.000143084018485448,-0.00117425650718664
"prop_SW",2.32066998891848e-06,2.75934480277293e-05,2.65759818267002e-07,0.00129569447350317,-6.84982193669384e-05,-3.145167153624e-05,2.55580734348995e-06,-4.14787553970342e-05,8.70059292537129e-05
"R0_hh",-0.000368657947625781,-0.000353949392157845,-1.83630729053004e-05,-0.0237406731777645,-0.000623897582006685,0.000143084018485448,-4.14787553970342e-05,0.00223599324755473,-0.0014179940340709
"R0_sw_st",-2.14085616027128e-05,0.000922247596246561,8.16726599733881e-06,0.0394524768162498,-0.00230275213425153,-0.00117425650718664,8.70059292537129e-05,-0.0014179940340709,0.00304163022514696
