"","alpha_cases","phi_05_14","phi_15_plus","prop_SW","R0_hh","R0_sw_st","rho"
"alpha_cases",0.000649797130941427,3.97496767745971e-05,0.000102572619177748,-4.84436675688404e-06,0.00034898484405364,-0.000408467058416254,-5.85851030992986e-05
"phi_05_14",3.97496767745971e-05,0.00265454281127565,0.000531577822461396,-4.33664975386378e-05,0.000531460981898993,-0.00271603854873451,5.4111892859574e-05
"phi_15_plus",0.000102572619177748,0.000531577822461396,0.000689081759983658,-4.29102278311276e-05,0.001404927596627,-0.0028387474921233,-8.09014890623444e-05
"prop_SW",-4.84436675688404e-06,-4.33664975386378e-05,-4.29102278311276e-05,3.95074252758464e-06,-0.000116222650439326,0.000245117258609693,4.52515039302111e-06
"R0_hh",0.00034898484405364,0.000531460981898993,0.001404927596627,-0.000116222650439326,0.00564006079931691,-0.00763545072995536,-0.000198843843431761
"R0_sw_st",-0.000408467058416254,-0.00271603854873451,-0.0028387474921233,0.000245117258609693,-0.00763545072995536,0.015496284294969,0.000313935281732911
"rho",-5.85851030992986e-05,5.4111892859574e-05,-8.09014890623444e-05,4.52515039302111e-06,-0.000198843843431761,0.000313935281732911,0.000418663209424092
