"","alpha_cases","phi_05_14","phi_15_plus","prop_SW","R0_hh","R0_sw_st","rho"
"alpha_cases",0.000870518764784272,0.000159147075683058,0.000146491041423649,-7.91463355752457e-06,0.000465149873151146,-0.000622931603561842,-5.83174857213392e-05
"phi_05_14",0.000159147075683058,0.00329427262122528,0.000807307904989774,-0.000107053904287479,0.00115444051999416,-0.00505625460337599,1.0675437226706e-05
"phi_15_plus",0.000146491041423649,0.000807307904989774,0.00063224837986004,-6.1849080712604e-05,0.00128178500768229,-0.00324778074011096,-9.18746548822067e-05
"prop_SW",-7.91463355752457e-06,-0.000107053904287479,-6.1849080712604e-05,1.00342266858102e-05,-0.000156893746553405,0.000451618921527485,1.12475542780996e-06
"R0_hh",0.000465149873151146,0.00115444051999416,0.00128178500768229,-0.000156893746553405,0.00481616871369281,-0.00825965768607397,-0.000231971548017165
"R0_sw_st",-0.000622931603561842,-0.00505625460337599,-0.00324778074011096,0.000451618921527485,-0.00825965768607397,0.0220212470029849,0.000303452348628384
"rho",-5.83174857213392e-05,1.0675437226706e-05,-9.18746548822067e-05,1.12475542780996e-06,-0.000231971548017165,0.000303452348628384,0.000479622754994531
