"","alpha_cases","phi_05_14","phi_15_plus","R0_hh","R0_sw_st","rho"
"alpha_cases",0.00072753288325508,-8.10653551254469e-05,2.1319188021689e-05,0.000212323249418366,-0.00010528744406401,-5.65322490621808e-05
"phi_05_14",-8.10653551254469e-05,0.00154014202408086,-4.67538388527523e-06,-0.000473532583495277,-2.12363404636499e-05,3.72312172912777e-05
"phi_15_plus",2.1319188021689e-05,-4.67538388527523e-06,7.74101602931985e-05,-5.84767564882908e-05,-4.82624802354772e-05,-1.37916614238569e-05
"R0_hh",0.000212323249418366,-0.000473532583495277,-5.84767564882908e-05,0.00110360600682366,-9.25175368136999e-05,-2.23537120458897e-05
"R0_sw_st",-0.00010528744406401,-2.12363404636499e-05,-4.82624802354772e-05,-9.25175368136999e-05,0.000170995862220817,5.71686783325429e-05
"rho",-5.65322490621808e-05,3.72312172912777e-05,-1.37916614238569e-05,-2.23537120458897e-05,5.71686783325429e-05,0.000434161058225818
