"name","region","initial"
"beta_z_max","both",14.1753336760797
"R0_hh","both",0.42007449782472
"alpha_cases","equateur",0.196511922826376
"alpha_deaths","equateur",0.703764172509746
"cfr_00_04","equateur",0.0608596549367713
"lambda","equateur",441.392847726148
"phi_05_14","equateur",0.485408042393571
"phi_15_plus","equateur",0.983626206138818
"prop_SW","equateur",0.00118632116908268
"R0_sw_st","equateur",0.000416147696682856
"alpha_cases","sudkivu",0.0562921924986888
"alpha_deaths","sudkivu",0.511236044935231
"cfr_00_04","sudkivu",0.00545180319910155
"lambda","sudkivu",2.58526481986203
"phi_05_14","sudkivu",0.619940524671848
"phi_15_plus","sudkivu",0.311907616041672
"prop_SW","sudkivu",0.00516897453163563
"R0_sw_st","sudkivu",0.435363722037297
