"","beta_z_max","R0_hh","alpha_cases<equateur>","alpha_deaths<equateur>","cfr_00_04<equateur>","lambda<equateur>","phi_05_14<equateur>","phi_15_plus<equateur>","prop_SW<equateur>","R0_sw_st<equateur>","alpha_cases<sudkivu>","alpha_deaths<sudkivu>","cfr_00_04<sudkivu>","lambda<sudkivu>","phi_05_14<sudkivu>","phi_15_plus<sudkivu>","prop_SW<sudkivu>","R0_sw_st<sudkivu>"
"beta_z_max",1.01938049765463,-0.020300082079053,-0.00150621373086463,0.000703608386501724,-0.000560330980800358,39.7332857982883,-0.0290032495373876,-0.00730698321436753,0.000127708131359838,3.29665545166411e-05,0.00149531799430959,0.00578016487426044,9.57046738845586e-05,0.205408229342653,0.00838539389907768,-0.0013604969784742,0.000354777157716493,0.0120414765283065
"R0_hh",-0.020300082079053,0.00118737546936009,-5.92186517197571e-05,7.24244612966945e-05,7.35170569295869e-06,-0.845608811893272,0.000325393852372279,-0.000530131515352028,-1.76800067409468e-06,-2.83084422144319e-06,-0.000169635853055771,-0.000317192179914329,-7.20916383402767e-06,-0.0132470274199175,-0.000383634815620409,8.71744192732338e-05,-2.1987202918735e-05,-0.000742438167158272
"alpha_cases<equateur>",-0.00150621373086463,-5.92186517197571e-05,0.000815984292651467,-6.00072375307994e-05,-1.41893107940697e-06,0.213898038572712,0.000109126428052618,-0.000132057645074633,3.50086702750384e-06,1.55761489289376e-05,2.00885225764811e-05,4.65351001254723e-05,1.25166627951681e-06,0.00217391784068657,5.79295648684153e-05,-6.49992926630068e-05,2.92644007135485e-06,0.000101218894291983
"alpha_deaths<equateur>",0.000703608386501724,7.24244612966945e-05,-6.00072375307994e-05,0.00473060612686197,7.32484172879092e-07,-0.0233924536809886,-0.000119810174282155,5.20557544367737e-06,-8.1367013820343e-07,-6.20158504023388e-05,5.71026412389919e-05,-7.16818849145648e-05,-2.55156898378357e-07,-0.00228301110164377,6.66846935801648e-05,-3.87201865740108e-05,-3.29350745262198e-06,-8.50748549784615e-05
"cfr_00_04<equateur>",-0.000560330980800358,7.35170569295869e-06,-1.41893107940697e-06,7.32484172879092e-07,6.95570677663054e-06,-0.310074263080365,1.42818762995813e-05,1.65991050396024e-05,-4.55181545673778e-08,-2.74094553530057e-06,3.32804103194074e-06,-6.81416823756636e-06,-9.38365401699582e-09,-0.000108729136984295,6.01277614896596e-06,2.58053684264435e-06,-2.67967414559108e-07,-8.91532638977768e-06
"lambda<equateur>",39.7332857982883,-0.845608811893272,0.213898038572712,-0.0233924536809886,-0.310074263080365,78947.6411830098,-0.436923679832018,-1.72928011257467,0.00550063791536273,-0.271002057983344,-0.147052733097506,0.562810921151279,0.00036108498649987,23.1514624453509,-3.15528764959132,-0.258422211198761,0.0396978363591802,1.28690990030719
"phi_05_14<equateur>",-0.0290032495373876,0.000325393852372279,0.000109126428052618,-0.000119810174282155,1.42818762995813e-05,-0.436923679832018,0.00249017307435375,0.000334570628136632,-2.81144046284455e-06,1.99266094345066e-06,-6.86585965698859e-05,-0.000359003185513782,-1.29832222487441e-06,-0.00280102904476241,-0.000323538852896761,-3.19131440308926e-05,-2.3240704047527e-06,-7.16814776728647e-05
"phi_15_plus<equateur>",-0.00730698321436753,-0.000530131515352028,-0.000132057645074633,5.20557544367737e-06,1.65991050396024e-05,-1.72928011257467,0.000334570628136632,0.00277569437553491,-1.70644591266396e-05,-0.000123625393213708,9.27300186713199e-05,0.000271370939066296,4.3572165176681e-06,0.00700587567395506,0.000150252005663751,-7.56044487142755e-05,1.12148215582336e-05,0.000393987761607534
"prop_SW<equateur>",0.000127708131359838,-1.76800067409468e-06,3.50086702750384e-06,-8.1367013820343e-07,-4.55181545673778e-08,0.00550063791536273,-2.81144046284455e-06,-1.70644591266396e-05,5.05379199573478e-06,2.24992425596867e-06,1.47342262989439e-06,5.55113474737772e-07,4.2071921114135e-08,-6.3551367270508e-05,1.14570817480334e-05,1.63747877502143e-06,-1.34916006952362e-07,-4.19774584350459e-06
"R0_sw_st<equateur>",3.29665545166411e-05,-2.83084422144319e-06,1.55761489289376e-05,-6.20158504023388e-05,-2.74094553530057e-06,-0.271002057983344,1.99266094345066e-06,-0.000123625393213708,2.24992425596867e-06,0.00037779516486872,5.74213251201854e-06,-5.93940000934844e-05,-6.95377010555807e-07,5.95263820113139e-05,0.000170177733117106,-3.14629068037742e-06,-5.50723859353254e-07,-1.88270667646264e-05
