"","alpha_cases","beta_hcw","R0_hh","R0_sw_st"
"alpha_cases",0.00465365514834441,0.00610506154557989,4.33098912456459e-05,-0.000287371973511863
"beta_hcw",0.00610506154557989,1.01750741119285,-0.0744181803120476,-0.00554719935737722
"R0_hh",4.33098912456459e-05,-0.0744181803120476,0.0121305807319635,-0.00439809502955896
"R0_sw_st",-0.000287371973511863,-0.00554719935737722,-0.00439809502955896,0.00416360824746776
