"","alpha_cases","alpha_deaths","cfr_00_04","lambda","phi_05_14","phi_15_plus","R0_hh","R0_sw_st"
"alpha_cases",0.000739798152517367,-0.000327827985099237,2.20008214242578e-06,0.00861601433775362,-5.51107355352146e-05,0.000269829952539294,-0.000141686529224899,-0.000108602639701869
"alpha_deaths",-0.000327827985099237,0.0328177528873667,5.39095719623903e-05,-0.0272205156007062,-0.00174707674000816,-0.000733896878793444,0.000885465237593889,0.000282620385889442
"cfr_00_04",2.20008214242578e-06,5.39095719623903e-05,2.99558286831027e-06,0.000161709308629043,6.50148280777583e-05,1.84875199690734e-05,-4.35117119966135e-05,-3.51988835829629e-07
"lambda",0.00861601433775362,-0.0272205156007062,0.000161709308629043,4.18649816252954,-0.00786856308028999,0.0109126114826455,-0.00316911536365981,-0.00847048379597817
"phi_05_14",-5.51107355352146e-05,-0.00174707674000816,6.50148280777583e-05,-0.00786856308028999,0.0256412092891706,0.000672830582346914,-0.00638610680780596,0.000167164897217658
"phi_15_plus",0.000269829952539294,-0.000733896878793444,1.84875199690734e-05,0.0109126114826455,0.000672830582346914,0.00163955082696705,-0.00110288000071792,-0.000247213877044652
"R0_hh",-0.000141686529224899,0.000885465237593889,-4.35117119966135e-05,-0.00316911536365981,-0.00638610680780596,-0.00110288000071792,0.00493374683784311,-0.000208286881459039
"R0_sw_st",-0.000108602639701869,0.000282620385889442,-3.51988835829629e-07,-0.00847048379597817,0.000167164897217658,-0.000247213877044652,-0.000208286881459039,0.000178239938134806
