scenario_name ,region,total_doses_children,total_doses_adults,doses_per_day_total,vaccine_dose_scenario,prioritisation_children,prioritisation_adults ,vaccine_used,daily_vax_split_children,uptake_realised,t_ve,days_between_doses
A: LC16m8,sudkivu,183,0,26000,1st_dose_only,children_all_equal,adults_all_equal,Lc16m8,0.5,1,28,28
B: A + MVA-BN >12y,sudkivu,183,122,26000,2_doses_prioritise_delay,children_all_equal,adults_all_equal,mix,0.6,1,28,28
C: MVA-BN,sudkivu,0,122,26000,2_doses_prioritise_delay,children_all_equal,adults_all_equal,MVA-BN,0.5,1,28,28
D: C + 1st dose only,sudkivu,0,122,26000,1st_dose_only,children_all_equal,adults_all_equal,MVA-BN,0.5,1,28,28
E: D + <12y first,sudkivu,0,122,26000,1st_dose_only,children_all_equal,adults_children_first,MVA-BN,0.5,1,28,28
F: D + key pops first,sudkivu,0,122,26000,1st_dose_only,children_all_equal,adults_key_pops,MVA-BN,0.5,1,28,28
No vaccination,sudkivu,0,0,0,no_vaccine,children_all_equal,adults_all_equal,mix,0.5,1,28,28
A: LC16m8,sudkivu,366,0,26000,1st_dose_only,children_all_equal,adults_all_equal,Lc16m8,0.5,1,28,28
B: A + MVA-BN >12y,sudkivu,366,244,26000,2_doses_prioritise_delay,children_all_equal,adults_all_equal,mix,0.6,1,28,28
C: MVA-BN,sudkivu,0,244,26000,2_doses_prioritise_delay,children_all_equal,adults_all_equal,MVA-BN,0.5,1,28,28
D: C + 1st dose only,sudkivu,0,244,26000,1st_dose_only,children_all_equal,adults_all_equal,MVA-BN,0.5,1,28,28
E: D + <12y first,sudkivu,0,244,26000,1st_dose_only,children_all_equal,adults_children_first,MVA-BN,0.5,1,28,28
F: D + key pops first,sudkivu,0,244,26000,1st_dose_only,children_all_equal,adults_key_pops,MVA-BN,0.5,1,28,28
A: LC16m8,sudkivu,733,0,26000,1st_dose_only,children_all_equal,adults_all_equal,Lc16m8,0.5,1,28,28
B: A + MVA-BN >12y,sudkivu,733,488,26000,2_doses_prioritise_delay,children_all_equal,adults_all_equal,mix,0.6,1,28,28
C: MVA-BN,sudkivu,0,488,26000,2_doses_prioritise_delay,children_all_equal,adults_all_equal,MVA-BN,0.5,1,28,28
D: C + 1st dose only,sudkivu,0,488,26000,1st_dose_only,children_all_equal,adults_all_equal,MVA-BN,0.5,1,28,28
E: D + <12y first,sudkivu,0,488,26000,1st_dose_only,children_all_equal,adults_children_first,MVA-BN,0.5,1,28,28
F: D + key pops first,sudkivu,0,488,26000,1st_dose_only,children_all_equal,adults_key_pops,MVA-BN,0.5,1,28,28
A: LC16m8,sudkivu,1465,0,26000,1st_dose_only,children_all_equal,adults_all_equal,Lc16m8,0.5,1,28,28
B: A + MVA-BN >12y,sudkivu,1465,977,26000,2_doses_prioritise_delay,children_all_equal,adults_all_equal,mix,0.6,1,28,28
C: MVA-BN,sudkivu,0,977,26000,2_doses_prioritise_delay,children_all_equal,adults_all_equal,MVA-BN,0.5,1,28,28
D: C + 1st dose only,sudkivu,0,977,26000,1st_dose_only,children_all_equal,adults_all_equal,MVA-BN,0.5,1,28,28
E: D + <12y first,sudkivu,0,977,26000,1st_dose_only,children_all_equal,adults_children_first,MVA-BN,0.5,1,28,28
