"","alpha_cases","alpha_deaths","beta_z_max","cfr_00_04","lambda","phi_05_14","phi_15_plus","prop_SW","R0_hh","R0_sw_st"
"alpha_cases",0.000899678958517469,9.72918510703445e-06,-0.00259543832458837,1.5200916749437e-06,0.103853862223318,0.000163242218346356,-7.58810504980688e-08,1.05437254557839e-06,8.01432994092874e-06,-5.55073916898289e-06
"alpha_deaths",9.72918510703445e-06,0.00499272064502849,-0.00172622501005571,1.07793538127221e-05,-1.06060508866666,0.00021548943498692,-0.000280402276373564,-2.79837533827859e-06,0.000109078150342557,-4.61109359863024e-06
"beta_z_max",-0.00259543832458837,-0.00172622501005571,1.29335099193192,-0.00105748378365917,31.0463245889668,-0.028107596121514,0.0110385693519268,0.000140623767191339,-0.0495921787289267,0.00148706022254212
"cfr_00_04",1.5200916749437e-06,1.07793538127221e-05,-0.00105748378365917,7.68021602132698e-06,-0.358856032269423,2.80118583965827e-05,-9.18209572994793e-06,-2.64850327983978e-07,4.48220594394211e-05,1.33628103139487e-06
"lambda",0.103853862223318,-1.06060508866666,31.0463245889668,-0.358856032269423,80323.322999724,-0.988313180077661,0.597867002313682,-0.00312153411570108,-1.55797699026703,-0.126616373443486
"phi_05_14",0.000163242218346356,0.00021548943498692,-0.028107596121514,2.80118583965827e-05,-0.988313180077661,0.00307500444727112,0.00066086825862048,-2.90762198750902e-06,0.000375234168700121,-3.43053264655788e-05
"phi_15_plus",-7.58810504980688e-08,-0.000280402276373564,0.0110385693519268,-9.18209572994793e-06,0.597867002313682,0.00066086825862048,0.00501001060935796,-4.98415769370608e-06,-0.00232934265903223,-6.52803538346544e-05
"prop_SW",1.05437254557839e-06,-2.79837533827859e-06,0.000140623767191339,-2.64850327983978e-07,-0.00312153411570108,-2.90762198750902e-06,-4.98415769370608e-06,2.517663886072e-06,-2.54697933306366e-06,2.51733582180814e-06
"R0_hh",8.01432994092874e-06,0.000109078150342557,-0.0495921787289267,4.48220594394211e-05,-1.55797699026703,0.000375234168700121,-0.00232934265903223,-2.54697933306366e-06,0.00361765182639921,-8.33237176083627e-05
"R0_sw_st",-5.55073916898289e-06,-4.61109359863024e-06,0.00148706022254212,1.33628103139487e-06,-0.126616373443486,-3.43053264655788e-05,-6.52803538346544e-05,2.51733582180814e-06,-8.33237176083627e-05,0.000322209347841799
