"","alpha_cases","alpha_deaths","beta_z_max","cfr_00_04","lambda","phi_05_14","phi_15_plus","R0_hh","R0_sw_st"
"alpha_cases",0.0012189406490226,5.09397092682781e-05,-0.000130119109960163,-1.31304594389609e-05,1.04986651289061,0.000153563662597613,-8.15705700672454e-06,-5.83576892561474e-05,4.03321409503439e-05
"alpha_deaths",5.09397092682781e-05,0.0096227907143824,0.0204185094035573,7.08937574061376e-06,-0.746265857110452,-0.000799116643622283,-0.000456853352998605,-0.000200690776293513,-4.49964009536817e-05
"beta_z_max",-0.000130119109960163,0.0204185094035573,1.84114151598526,-0.00103439582136136,2.648312721387,-0.0435929462909882,0.0261199372791182,-0.0774404695411108,0.000978661142601244
"cfr_00_04",-1.31304594389609e-05,7.08937574061376e-06,-0.00103439582136136,1.7690563206359e-05,-0.398128812674556,3.22967017743366e-05,4.591407436867e-06,3.5644646622407e-05,-2.09255231719625e-07
"lambda",1.04986651289061,-0.746265857110452,2.648312721387,-0.398128812674556,76393.8818805626,-0.277946117702488,-0.178359039309569,-0.00750082184935607,-0.450893174810177
"phi_05_14",0.000153563662597613,-0.000799116643622283,-0.0435929462909882,3.22967017743366e-05,-0.277946117702488,0.00517303538389162,0.000691954435466797,0.000433640698973888,5.8073517463559e-05
"phi_15_plus",-8.15705700672454e-06,-0.000456853352998605,0.0261199372791182,4.591407436867e-06,-0.178359039309569,0.000691954435466797,0.00919271775946962,-0.00456278438697477,-0.000251757419027142
"R0_hh",-5.83576892561474e-05,-0.000200690776293513,-0.0774404695411108,3.5644646622407e-05,-0.00750082184935607,0.000433640698973888,-0.00456278438697477,0.00614362544600357,-0.000201070114326182
"R0_sw_st",4.03321409503439e-05,-4.49964009536817e-05,0.000978661142601244,-2.09255231719625e-07,-0.450893174810177,5.8073517463559e-05,-0.000251757419027142,-0.000201070114326182,0.00156080498220517
