"","alpha_cases","phi_05_14","phi_15_plus","R0_hh","R0_sw_st","rho"
"alpha_cases",0.000764448314348368,0.000107053699298803,5.80355156869299e-05,0.000224535823352761,-0.000217825349060152,-6.86940999175347e-05
"phi_05_14",0.000107053699298803,0.00208398581356419,5.3419059277566e-05,-0.000554061614776394,-0.000116655405148124,1.3727069567987e-05
"phi_15_plus",5.80355156869299e-05,5.3419059277566e-05,0.000128030936390699,6.8312401733352e-05,-0.000239074329830332,-5.40122084510647e-05
"R0_hh",0.000224535823352761,-0.000554061614776394,6.8312401733352e-05,0.00167792086296547,-0.000738269000980157,-8.3466787873926e-05
"R0_sw_st",-0.000217825349060152,-0.000116655405148124,-0.000239074329830332,-0.000738269000980157,0.0013018662475189,0.000197342670158433
"rho",-6.86940999175347e-05,1.3727069567987e-05,-5.40122084510647e-05,-8.3466787873926e-05,0.000197342670158433,0.000502573403758569
