"","alpha_cases","alpha_deaths","beta_z_max","cfr_00_04","lambda","phi_05_14","phi_15_plus","R0_hh","R0_sw_st"
"alpha_cases",0.000938177790170632,7.97345877558328e-06,-0.000633883201092569,2.47322915227034e-06,0.0420570790108445,8.64101686538057e-05,2.38801495682823e-06,-8.16158820664474e-05,9.40948717123268e-06
"alpha_deaths",7.97345877558328e-06,0.00497276910664486,0.00274821077708334,9.55016678963394e-07,-0.757927490730918,-1.63347330527078e-06,-2.26242236101948e-05,-9.18267770451982e-05,-1.59110385585071e-06
"beta_z_max",-0.000633883201092569,0.00274821077708334,1.24666382975906,-0.000825231567972392,34.4754390771814,-0.0279304516837615,0.00777147895449595,-0.048447803402274,0.0032323058694466
"cfr_00_04",2.47322915227034e-06,9.55016678963394e-07,-0.000825231567972392,6.84450664675919e-06,-0.320173779591459,1.58797456519287e-05,5.55082832731974e-06,3.2907354059168e-05,-2.11246465995043e-06
"lambda",0.0420570790108445,-0.757927490730918,34.4754390771814,-0.320173779591459,81956.0616707114,-0.213550289555147,-1.20992760596305,-1.72154952651833,0.234482186064097
"phi_05_14",8.64101686538057e-05,-1.63347330527078e-06,-0.0279304516837615,1.58797456519287e-05,-0.213550289555147,0.00319384511638197,0.000574897406473615,0.000357387688080125,-2.36826730164912e-05
"phi_15_plus",2.38801495682823e-06,-2.26242236101948e-05,0.00777147895449595,5.55082832731974e-06,-1.20992760596305,0.000574897406473615,0.00455331262367593,-0.00200522429840164,1.15691807688553e-05
"R0_hh",-8.16158820664474e-05,-9.18267770451982e-05,-0.048447803402274,3.2907354059168e-05,-1.72154952651833,0.000357387688080125,-0.00200522429840164,0.00350654448094925,-0.000193613225708334
"R0_sw_st",9.40948717123268e-06,-1.59110385585071e-06,0.0032323058694466,-2.11246465995043e-06,0.234482186064097,-2.36826730164912e-05,1.15691807688553e-05,-0.000193613225708334,0.000504957060995669
