"","beta_z_max","R0_hh","alpha_cases<equateur>","alpha_deaths<equateur>","cfr_00_04<equateur>","lambda<equateur>","phi_05_14<equateur>","phi_15_plus<equateur>","prop_SW<equateur>","R0_sw_st<equateur>","alpha_cases<sudkivu>","alpha_deaths<sudkivu>","cfr_00_04<sudkivu>","lambda<sudkivu>","phi_05_14<sudkivu>","phi_15_plus<sudkivu>","prop_SW<sudkivu>","R0_sw_st<sudkivu>"
"beta_z_max",1.74985913573982,-0.0467986229969754,0.00680313074201034,-0.0150834203593122,0.000160785829884285,2.60538559492284,-0.0450209483720534,0.00926347699013984,-0.0013826525685241,-0.00364590537748717,0.000980935578976902,-0.00671532991589153,0.000446136030432696,0.122999450000087,0.0178904436446619,0.00103323922509891,0.000659308146380286,0.0247320771728624
"R0_hh",-0.0467986229969754,0.00544859329741741,-0.00053196981567744,0.000972999466485892,2.01792978546849e-05,-0.389320674219467,-0.000106047927566529,-0.00454427779388671,0.000133782330178206,0.000689042566540974,-0.000120627458261585,0.00215675623453416,-3.90839756284283e-05,-0.000907924720912293,-0.00231627468533636,-0.000701193320159429,-6.02131132845415e-05,-0.00258717087172236
"alpha_cases<equateur>",0.00680313074201034,-0.00053196981567744,0.00356107148898079,-0.000349506962962553,-7.94865411242465e-07,0.530280516723651,0.000221894045833115,-0.000791877415360106,-4.8857566734158e-05,0.000532844619810785,7.0391965580082e-05,-0.000108143955340137,4.74217306712293e-06,0.00135272995454873,0.000714607770348698,0.00113293675718985,-4.6579668085396e-06,-0.000171073068145372
"alpha_deaths<equateur>",-0.0150834203593122,0.000972999466485892,-0.000349506962962553,0.0107390234217909,2.66542275956573e-05,-1.64023334997933,-0.000214076982922509,-0.000577340313883623,4.79222862494356e-05,0.000351027198879168,0.00037395067039984,0.00224576916505694,-1.45265169509566e-05,0.0308412806079906,-0.00171565207391166,-0.000983271041704761,4.13875548977413e-05,0.00143836902722915
"cfr_00_04<equateur>",0.000160785829884285,2.01792978546849e-05,-7.94865411242465e-07,2.66542275956573e-05,2.71349888717018e-05,-0.394331375694815,-3.26598377387458e-05,3.43686387974818e-05,3.6919794100321e-06,-4.44393473325038e-05,-2.06163599230167e-05,-3.33404713080476e-05,-8.53577349270205e-07,0.000937272644409973,-8.89269665514e-05,-2.54865566004485e-05,9.84106314162504e-08,4.22405647421162e-06
"lambda<equateur>",2.60538559492284,-0.389320674219467,0.530280516723651,-1.64023334997933,-0.394331375694815,72606.8790292435,-0.72733206581336,0.368561931166863,-0.135281968191533,1.3546622428102,1.3530373968706,6.7393059203801,0.0653585854599289,92.2591177263673,-4.72940691690311,-1.28933021913961,0.0359732768808059,1.00867893673187
"phi_05_14<equateur>",-0.0450209483720534,-0.000106047927566529,0.000221894045833115,-0.000214076982922509,-3.26598377387458e-05,-0.72733206581336,0.00718100392297415,-0.000337850908654174,-5.35193016736576e-05,-0.000446111998616577,0.000229027209977843,-0.000671147804957659,1.0501224003451e-06,-0.0280442735981443,-0.000431937616412052,0.000889669920237656,-3.44430354891797e-05,-0.00116194528200597
"phi_15_plus<equateur>",0.00926347699013984,-0.00454427779388671,-0.000791877415360106,-0.000577340313883623,3.43686387974818e-05,0.368561931166863,-0.000337850908654174,0.0135119848230593,-3.06848356528274e-05,-0.00110941941523899,0.000835808915788255,-0.00156529962269572,3.44444919538153e-05,0.0202329276886949,0.00165896510398255,-0.000701174275979574,6.68684194501732e-05,0.00293581883247661
"prop_SW<equateur>",-0.0013826525685241,0.000133782330178206,-4.8857566734158e-05,4.79222862494356e-05,3.6919794100321e-06,-0.135281968191533,-5.35193016736576e-05,-3.06848356528274e-05,2.67369670895855e-05,3.40046177864515e-06,6.82425522574831e-06,5.05270209555383e-05,-1.14433315008024e-07,0.0017623705016387,7.50426293405023e-05,-2.61727879124398e-05,-2.00801554037137e-06,-8.38629557794477e-05
"R0_sw_st<equateur>",-0.00364590537748717,0.000689042566540974,0.000532844619810785,0.000351027198879168,-4.44393473325038e-05,1.3546622428102,-0.000446111998616577,-0.00110941941523899,3.40046177864515e-06,0.00276400371282042,0.000141081361096384,0.00181410838620004,-7.62709217886145e-07,-0.000599432645526709,0.000627671511108927,-0.000110533536847048,-2.13275359508036e-06,-0.000143663902853689
"alpha_cases<sudkivu>",0.000980935578976902,-0.000120627458261585,7.0391965580082e-05,0.00037395067039984,-2.06163599230167e-05,1.3530373968706,0.000229027209977843,0.000835808915788255,6.82425522574831e-06,0.000141081361096384,0.000907958325708809,0.000190248985443356,-1.73154957335291e-06,0.0164989746496504,-0.000614626183959444,0.000205097600018551,-6.39380281324647e-06,-0.000356022789371269
"alpha_deaths<sudkivu>",-0.00671532991589153,0.00215675623453416,-0.000108143955340137,0.00224576916505694,-3.33404713080476e-05,6.7393059203801,-0.000671147804957659,-0.00156529962269572,5.05270209555383e-05,0.00181410838620004,0.000190248985443356,0.0358955694001587,0.00010220465639089,0.00371948387699804,-0.00524981530284954,-0.00225981663352528,5.14256093872822e-05,0.00130164191845598
"cfr_00_04<sudkivu>",0.000446136030432696,-3.90839756284283e-05,4.74217306712293e-06,-1.45265169509566e-05,-8.53577349270205e-07,0.0653585854599289,1.0501224003451e-06,3.44444919538153e-05,-1.14433315008024e-07,-7.62709217886145e-07,-1.73154957335291e-06,0.00010220465639089,3.53816372265946e-06,-0.000474171398829206,2.47271639379497e-05,1.46191215680995e-05,2.43196061020168e-07,8.90972266552894e-06
"lambda<sudkivu>",0.122999450000087,-0.000907924720912293,0.00135272995454873,0.0308412806079906,0.000937272644409973,92.2591177263673,-0.0280442735981443,0.0202329276886949,0.0017623705016387,-0.000599432645526709,0.0164989746496504,0.00371948387699804,-0.000474171398829206,2.54207136924532,-0.0834825049396579,-0.0194688936797622,0.00124919070333556,0.0387197749764461
"phi_05_14<sudkivu>",0.0178904436446619,-0.00231627468533636,0.000714607770348698,-0.00171565207391166,-8.89269665514e-05,-4.72940691690311,-0.000431937616412052,0.00165896510398255,7.50426293405023e-05,0.000627671511108927,-0.000614626183959444,-0.00524981530284954,2.47271639379497e-05,-0.0834825049396579,0.0246245004347781,0.00230423354645101,-9.25329859748111e-05,-0.00311401118120564
"phi_15_plus<sudkivu>",0.00103323922509891,-0.000701193320159429,0.00113293675718985,-0.000983271041704761,-2.54865566004485e-05,-1.28933021913961,0.000889669920237656,-0.000701174275979574,-2.61727879124398e-05,-0.000110533536847048,0.000205097600018551,-0.00225981663352528,1.46191215680995e-05,-0.0194688936797622,0.00230423354645101,0.0035821487475412,-6.80524764757112e-05,-0.00259183388535073
"prop_SW<sudkivu>",0.000659308146380286,-6.02131132845415e-05,-4.6579668085396e-06,4.13875548977413e-05,9.84106314162504e-08,0.0359732768808059,-3.44430354891797e-05,6.68684194501732e-05,-2.00801554037137e-06,-2.13275359508036e-06,-6.39380281324647e-06,5.14256093872822e-05,2.43196061020168e-07,0.00124919070333556,-9.25329859748111e-05,-6.80524764757112e-05,3.82944506933673e-06,0.000144393885689865
"R0_sw_st<sudkivu>",0.0247320771728624,-0.00258717087172236,-0.000171073068145372,0.00143836902722915,4.22405647421162e-06,1.00867893673187,-0.00116194528200597,0.00293581883247661,-8.38629557794477e-05,-0.000143663902853689,-0.000356022789371269,0.00130164191845598,8.90972266552894e-06,0.0387197749764461,-0.00311401118120564,-0.00259183388535073,0.000144393885689865,0.00561494158735457
