"","alpha_cases","alpha_deaths","cfr_00_04","lambda","phi_05_14","phi_15_plus","R0_hh","R0_sw_st"
"alpha_cases",0.000620099348153322,-8.04880425428288e-05,3.7623262456221e-06,0.00604813782159194,0.000140681809852967,0.00016201002828974,-0.000369597936559524,-7.12139066510338e-05
"alpha_deaths",-8.04880425428288e-05,0.0144983256412052,1.23570739666857e-05,-0.00199707277820762,-0.000445330858418605,-6.89878006074011e-05,0.000121028431478429,3.75463494998746e-05
"cfr_00_04",3.7623262456221e-06,1.23570739666857e-05,6.17678358556649e-07,5.70674600958117e-05,1.8856533353198e-05,4.73920012500202e-06,-1.31904950029108e-05,-9.62175294330172e-07
"lambda",0.00604813782159194,-0.00199707277820762,5.70674600958117e-05,0.301390710372046,-0.00504166430812142,0.00360460388896868,-0.00301088176669872,-0.00349677919535382
"phi_05_14",0.000140681809852967,-0.000445330858418605,1.8856533353198e-05,-0.00504166430812142,0.00948835982795687,0.000183391864755663,-0.00205700969532352,3.15239508620163e-05
"phi_15_plus",0.00016201002828974,-6.89878006074011e-05,4.73920012500202e-06,0.00360460388896868,0.000183391864755663,0.000540560461916298,-0.000430120138683833,-7.41870092200443e-05
"R0_hh",-0.000369597936559524,0.000121028431478429,-1.31904950029108e-05,-0.00301088176669872,-0.00205700969532352,-0.000430120138683833,0.00159828849401958,2.65188587865806e-05
"R0_sw_st",-7.12139066510338e-05,3.75463494998746e-05,-9.62175294330172e-07,-0.00349677919535382,3.15239508620163e-05,-7.41870092200443e-05,2.65188587865806e-05,4.84184346920381e-05
